scenario,policy_type,model,indicator,quarter,impact
Expansionary Monetary Policy,monetary,dsge,gdp_growth,0,0.0
Expansionary Monetary Policy,monetary,dsge,gdp_growth,1,0.0516582719131682
Expansionary Monetary Policy,monetary,dsge,gdp_growth,2,0.5056205126781969
Expansionary Monetary Policy,monetary,dsge,gdp_growth,3,1.1073596079624721
Expansionary Monetary Policy,monetary,dsge,gdp_growth,4,1.1983951050664348
Expansionary Monetary Policy,monetary,dsge,gdp_growth,5,1.0156480490287731
Expansionary Monetary Policy,monetary,dsge,gdp_growth,6,1.0156497564772853
Expansionary Monetary Policy,monetary,dsge,gdp_growth,7,1.2042381328127687
Expansionary Monetary Policy,monetary,dsge,gdp_growth,8,0.5998132118319025
Expansionary Monetary Policy,monetary,dsge,inflation,0,0.0
Expansionary Monetary Policy,monetary,dsge,inflation,1,-0.07323800420585254
Expansionary Monetary Policy,monetary,dsge,inflation,2,0.8646393667994106
Expansionary Monetary Policy,monetary,dsge,inflation,3,1.4877068399212559
Expansionary Monetary Policy,monetary,dsge,inflation,4,1.48734615844304
Expansionary Monetary Policy,monetary,dsge,inflation,5,1.5977461143643015
Expansionary Monetary Policy,monetary,dsge,inflation,6,1.2615282818333835
Expansionary Monetary Policy,monetary,dsge,inflation,7,1.2909128181279668
Expansionary Monetary Policy,monetary,dsge,inflation,8,0.6922831454384083
Expansionary Monetary Policy,monetary,dsge,unemployment,0,0.0
Expansionary Monetary Policy,monetary,dsge,unemployment,1,-0.07900082738608508
Expansionary Monetary Policy,monetary,dsge,unemployment,2,-0.36548870805756867
Expansionary Monetary Policy,monetary,dsge,unemployment,3,-0.8508258778906544
Expansionary Monetary Policy,monetary,dsge,unemployment,4,-0.8901596887041527
Expansionary Monetary Policy,monetary,dsge,unemployment,5,-0.6656793960241187
Expansionary Monetary Policy,monetary,dsge,unemployment,6,-0.7976105514379498
Expansionary Monetary Policy,monetary,dsge,unemployment,7,-0.774732800034342
Expansionary Monetary Policy,monetary,dsge,unemployment,8,-0.5011303585246496
Expansionary Monetary Policy,monetary,dsge,current_account,0,0.0
Expansionary Monetary Policy,monetary,dsge,current_account,1,-0.021230926256482128
Expansionary Monetary Policy,monetary,dsge,current_account,2,0.1993259809986848
Expansionary Monetary Policy,monetary,dsge,current_account,3,0.3451112504805302
Expansionary Monetary Policy,monetary,dsge,current_account,4,0.40465222271548124
Expansionary Monetary Policy,monetary,dsge,current_account,5,0.3665750910931666
Expansionary Monetary Policy,monetary,dsge,current_account,6,0.37862394375806224
Expansionary Monetary Policy,monetary,dsge,current_account,7,0.36653344212305355
Expansionary Monetary Policy,monetary,dsge,current_account,8,0.2672388491958486
Expansionary Monetary Policy,monetary,dsge,government_debt,0,0.0
Expansionary Monetary Policy,monetary,dsge,government_debt,1,0.0
Expansionary Monetary Policy,monetary,dsge,government_debt,2,0.0
Expansionary Monetary Policy,monetary,dsge,government_debt,3,0.0
Expansionary Monetary Policy,monetary,dsge,government_debt,4,0.0
Expansionary Monetary Policy,monetary,dsge,government_debt,5,0.0
