variable,mean,std,percentile_5,percentile_95,var_95,cvar_95,coefficient_of_variation,model
gdp_growth,6.533143196622101,0.33076543502228545,5.987947185689246,7.081384423699381,5.987947185689246,5.853790332667763,0.05062883593203721,abm
inflation,5.532056001059261,0.2818483027419653,5.069636807070523,5.997591110050128,5.069636807070523,4.954238104754334,0.050948201299480314,abm
unemployment,4.23502790597249,0.22298386344921628,3.8739296948112023,4.608216153441203,3.8739296948112023,3.785293278851288,0.052652277245859726,abm
current_account,-1.4660785477713856,0.09921318695076198,-1.6086949785082982,-1.2903817867949108,-1.6086949785082982,-1.6411663822055695,0.06767249074176677,abm
government_debt,35.040374169362686,1.7477010085139215,32.15433446159149,37.91313132977573,32.15433446159149,31.40575781156617,0.04987677928513709,abm
trade_balance,-7.9655385186243715,0.40570103097122795,-8.624562601063145,-7.289618234923767,-8.624562601063145,-8.795653438664496,0.05093202801325371,abm
real_exchange_rate,100.09296973506181,4.9977369823112365,91.77978158244093,108.32134620036909,91.77978158244093,89.7636636743438,0.04993094915197193,abm
investment_rate,25.036434579514573,1.2512337269582767,23.005550681876652,27.094154362458273,23.005550681876652,22.460856349383928,0.04997651414718879,abm
consumption_growth,5.834096467288386,0.2976050652844425,5.3471318225337106,6.325081784595066,5.3471318225337106,5.223702413510784,0.05101133773723244,abm
productivity_growth,2.5338172490919524,0.142309562184253,2.3132140388688107,2.7735166049279467,2.3132140388688107,2.2568482103142498,0.05616409874676347,abm
gdp_growth,6.532056971412101,0.33393831548005753,5.982775900978324,7.080815487881165,5.982775900978324,5.845293341150026,0.05112299493736147,behavioral
inflation,5.5309387406109085,0.2822640411220101,5.072323410236997,5.996208239019106,5.072323410236997,4.952100967137805,0.05103365890666748,behavioral
unemployment,4.232770821135596,0.22096642006861228,3.874572445656668,4.600631249864754,3.874572445656668,3.783261375343861,0.05220372881169359,behavioral
current_account,-1.4657639607615855,0.09956515752002647,-1.6080148751976862,-1.294010702264584,-1.6080148751976862,-1.641261489153407,0.06792714255867918,behavioral
government_debt,35.03186177475625,1.7428927928897944,32.192002069229666,37.89880277835406,32.192002069229666,31.42700604710781,0.04975164620413387,behavioral
trade_balance,-7.966969476327713,0.40481360624548907,-8.63004299290499,-7.2971474963058975,-8.63004299290499,-8.794282495341243,0.05081149205457775,behavioral
real_exchange_rate,100.08646770828808,5.003596595512113,91.84826042573411,108.34164927397258,91.84826042573411,89.73883812410264,0.049992738379933545,behavioral
investment_rate,25.033762935045022,1.2449365860835628,22.985773342579993,27.076593379124485,22.985773342579993,22.453907471512764,0.04973030180535757,behavioral
consumption_growth,5.834529968748745,0.2965836928448984,5.347818152723749,6.3227439397625735,5.347818152723749,5.228586919762857,0.05083249112327429,behavioral
productivity_growth,2.5332570651740856,0.13998458974942604,2.3119855222588876,2.766577221186698,2.3119855222588876,2.257104539638961,0.055258738512511084,behavioral
gdp_growth,6.532048660716984,0.32738211244266113,6.000370781567576,7.072801583088483,6.000370781567576,5.859118579768208,0.05011936215532209,cge
inflation,5.536350040707801,0.28509099160703055,5.067227788410829,6.0073692690317735,5.067227788410829,4.956131991918593,0.05149439423280808,cge
unemployment,4.233534962094984,0.22003578795946108,3.8773477421725504,4.599830071259883,3.8773477421725504,3.787505198229342,0.05197448230132848,cge
current_account,-1.4666331360082414,0.10035017288106997,-1.612037853866954,-1.2913774034666206,-1.612037853866954,-1.6442276738095516,0.0684221366729751,cge
government_debt,35.02295385237703,1.750338986627686,32.15995154108095,37.88589354203578,32.15995154108095,31.390765941498124,0.04997690925800907,cge
trade_balance,-7.964263811497103,0.4045932764760494,-8.637044315259619,-7.298342053319919,-8.637044315259619,-8.800165539769706,0.05080108922208027,cge
real_exchange_rate,100.01996052499796,5.008417003450634,91.80573724507461,108.24296407365861,91.80573724507461,89.74316137998825,0.050074174966294675,cge
investment_rate,25.02800932105274,1.2534449508159753,22.98988476682129,27.082689152042484,22.98988476682129,22.44795664240552,0.050081687869662835,cge
consumption_growth,5.833476407702807,0.29776595064315403,5.347417702530972,6.329967626518143,5.347417702530972,5.225612228069525,0.051044339572535055,cge
productivity_growth,2.5332470684117716,0.14142950318262343,2.3107669966292836,2.772235640856354,2.3107669966292836,2.2567771601171605,0.05582933656419591,cge
