status,solution,max_residual,iterations
not_converged,"{'agriculture': np.float64(67.47344232497329), 'livestock': np.float64(33.77494944159286), 'textiles': np.float64(159.615767397066), 'manufacturing': np.float64(162.06981523479683), 'construction': np.float64(85.52651718136246), 'services': np.float64(132.2265182680156), 'government': np.float64(76.49084596050943), 'financial': np.float64(103.31779815571723)}",3239792.9138887813,100
not_converged,"{'agriculture': np.float64(1.0000000000000002), 'livestock': np.float64(1.0999110040726938), 'textiles': np.float64(0.8499674579609253), 'manufacturing': np.float64(0.9333004770079222), 'construction': np.float64(1.0996813626694215), 'services': np.float64(1.0994846970284577), 'government': np.float64(1.6165515820235319), 'financial': np.float64(0.9999447176634914)}",3239792.9138887813,100
not_converged,"{'labor_unskilled': np.float64(-3.59468142684201), 'labor_skilled': np.float64(-0.5643805580112424), 'capital': np.float64(-1.1484910229578895), 'land': np.float64(-3.0481282182037854)}",3239792.9138887813,100
not_converged,"{'agriculture': {'labor_unskilled': np.float64(123.18819732521895), 'labor_skilled': np.float64(6.5706513836404925), 'capital': np.float64(32.39917391467012), 'land': np.float64(135.33818739277956)}, 'livestock': {'labor_unskilled': np.float64(66.14853286004819), 'labor_skilled': np.float64(7.216054085437515), 'capital': np.float64(15.297479520280147), 'land': np.float64(64.66181260722041)}, 'textiles': {'labor_unskilled': np.float64(192.67765492045976), 'labor_skilled': np.float64(62.21761666621712), 'capital': np.float64(200.7334945832866)}, 'manufacturing': {'labor_unskilled': np.float64(266.37963979467816), 'labor_skilled': np.float64(84.79613078592283), 'capital': np.float64(135.03627133828937)}, 'construction': {'labor_unskilled': np.float64(123.35411933169675), 'labor_skilled': np.float64(32.3029778859759), 'capital': np.float64(73.81456393288008)}, 'services': {'labor_unskilled': np.float64(135.88165317386995), 'labor_skilled': np.float64(116.57595609147721), 'capital': np.float64(142.13651563963518)}, 'government': {'labor_unskilled': np.float64(54.83889584224267), 'labor_skilled': np.float64(86.90345488546046), 'capital': np.float64(69.7132798226589)}, 'financial': {'labor_unskilled': np.float64(37.531306751785486), 'labor_skilled': np.float64(103.41715821586853), 'capital': np.float64(130.86922124829982)}}",3239792.9138887813,100
not_converged,"{'rural_poor': {'agriculture': np.float64(11.099587744825502), 'livestock': np.float64(-9.019051245454406), 'textiles': np.float64(-12.022890348218763), 'manufacturing': np.float64(-35.379071127883854), 'construction': np.float64(0.0), 'services': np.float64(-57.980124733705544), 'government': np.float64(-3.019806626980426e-14), 'financial': np.float64(3.285149929865838e-13)}, 'rural_nonpoor': {'agriculture': np.float64(46.09290058924016), 'livestock': np.float64(-7.784993673406213), 'textiles': np.float64(14.328234737438567), 'manufacturing': np.float64(-5.077832190324434), 'construction': np.float64(-12.579037845587793), 'services': np.float64(-25.130739167456564), 'government': np.float64(3.368416656712725e-13), 'financial': np.float64(4.218847493575595e-13)}, 'urban_poor': {'agriculture': np.float64(2.5724271648155366), 'livestock': np.float64(-10.819650466225568), 'textiles': np.float64(-13.05116385581286), 'manufacturing': np.float64(-44.35602095368367), 'construction': np.float64(1.1240879981698604e-13), 'services': np.float64(-53.660094038136826), 'government': np.float64(1.5309975509580909e-13), 'financial': np.float64(4.2932324362254803e-13)}, 'urban_nonpoor': {'agriculture': np.float64(88.75450472373535), 'livestock': np.float64(10.359675002256965), 'textiles': np.float64(86.86919027104801), 'manufacturing': np.float64(58.69084360636638), 'construction': np.float64(-8.185942044789169), 'services': np.float64(-16.324782669317106), 'government': np.float64(1.3500311979441904e-13), 'financial': np.float64(-2.282618538629322e-13)}, 'urban_rich': {'agriculture': np.float64(87.46385668183584), 'livestock': np.float64(15.919602217124776), 'textiles': np.float64(246.60470191072747), 'manufacturing': np.float64(144.31342357365978), 'construction': np.float64(-23.967643855620985), 'services': np.float64(-35.8066211616071), 'government': np.float64(1.0036416142611415e-13), 'financial': np.float64(5.329070518200751e-15)}}",3239792.9138887813,100
not_converged,"{'agriculture': np.float64(-186.13671138828084), 'livestock': np.float64(14.389276321922228), 'textiles': np.float64(-170.7257914564288), 'manufacturing': np.float64(19.313743373802065), 'construction': np.float64(101.09575009081719), 'services': np.float64(295.4973637697366), 'government': np.float64(-42.28903590059593), 'financial': np.float64(81.81587383394715)}",3239792.9138887813,100
not_converged,"{'agriculture': np.float64(2.3731231911775343), 'livestock': np.float64(-0.7300912853751005), 'textiles': np.float64(12.386513861675231), 'manufacturing': np.float64(-4.5647289528605235), 'construction': np.float64(-9.163390836543154), 'services': np.float64(-5.631516268502196), 'government': np.float64(1.2201181388953501), 'financial': np.float64(-1.501924321769077)}",3239792.9138887813,100
not_converged,"{'rural_poor': np.float64(-100.25280987648239), 'rural_nonpoor': np.float64(-0.026333190351124358), 'urban_poor': np.float64(-132.29528905656684), 'urban_nonpoor': np.float64(183.51490643248917), 'urban_rich': np.float64(343.75548961847835)}",3239792.9138887813,100
not_converged,"{'agriculture': 20.0, 'livestock': 20.0, 'textiles': 20.0, 'manufacturing': 20.0, 'construction': 20.0, 'services': 20.0, 'government': 20.0, 'financial': 20.0}",3239792.9138887813,100
not_converged,"{'rural_poor': 100.0, 'rural_nonpoor': 100.0, 'urban_poor': 100.0, 'urban_nonpoor': 100.0, 'urban_rich': 100.0}",3239792.9138887813,100
not_converged,35.44836739789855,3239792.9138887813,100
not_converged,50.99723053333913,3239792.9138887813,100
