period,gdp_growth,inflation,policy_rate,lending_rate,deposit_rate,total_assets,total_loans,total_deposits,avg_car,avg_roa,stability_index,banking_stability,credit_stability,liquidity_stability
0,0.05901356447037786,0.05,0.05950678223518893,0.10950678223518893,0.03950678223518893,55.85011149437084,33.64906838170528,41.61117292652157,0.2235315113204364,-0.0106178646789364,0.7517390342600574,0.52,0.8124634475335248,1.0
1,0.05780544848621181,0.04663958769967427,0.05386210579261731,0.10386210579261732,0.03386210579261731,57.86038219119207,35.65933907852652,43.40775244833143,0.226281802049924,-0.009170241138095767,0.7469580008713171,0.52,0.7965266695710571,1.0
2,0.05029751002119011,0.04024389560963346,0.040514598425045234,0.09051459842504524,0.020514598425045234,59.67236867664857,37.471325563983,44.73148519538427,0.2311258951483887,-0.006822312089993906,0.7120970513388731,0.52,0.6803235044629107,1.0
3,0.06896028336013656,0.04637106226865921,0.05903673508305709,0.10903673508305708,0.03903673508305709,62.40805906222861,40.20701594956304,47.17769777555329,0.23043318561682646,-0.008311766313700546,0.7847351431548226,0.52,0.9224504771827421,1.0
4,0.06557902455559307,0.051037254976253714,0.0643453947421771,0.1143453947421771,0.044345394742177094,65.1818034238271,42.980760311161546,49.75529455620376,0.230983369417708,-0.008195376373201725,0.7746414943042391,0.52,0.8888049810141304,1.0
5,0.07243794755500799,0.055181731133715245,0.07399157047807686,0.12399157047807687,0.05399157047807686,68.49747712351783,46.296434010852266,52.986709045541055,0.22923304196241898,-0.008470265368317435,0.7941335932247617,0.52,0.9537786440825389,1.0
6,0.07839525694274045,0.06000760375784453,0.08420903410813702,0.134209034108137,0.06420903410813701,72.39691648012627,50.19587336746068,56.9512129049621,0.22742293962353022,-0.008777959268998851,0.7927042955973771,0.52,0.9490143186579234,1.0
7,0.07194888472633748,0.05732714663143648,0.07696516231032347,0.12696516231032345,0.05696516231032346,76.23999354705116,54.0389504343856,60.71236719217273,0.2263769222063944,-0.007379643028011167,0.7928667927397599,0.52,0.9495559757991998,1.0
8,0.08141004482079699,0.05187194302114737,0.07351293694211955,0.12351293694211955,0.053512936942119546,80.9853064609894,58.78426334832384,65.07664561434322,0.22282500824650672,-0.006124614904108475,0.7863272026470043,0.52,0.9277573421566807,1.0
9,0.050617435949143495,0.06018282061342449,0.07058294889470848,0.12058294889470848,0.05058294889470848,83.99472301887977,61.79367990621415,68.05620737466631,0.2263418892531429,-0.005490660430183723,0.7137934838192168,0.52,0.6859782793973892,1.0
10,0.062480806605177665,0.060444746692829815,0.07690752334183355,0.12690752334183356,0.05690752334183355,88.02998473128736,65.8289416186218,72.03330371704497,0.22759591294769949,-0.005445958289641612,0.7644336472509419,0.52,0.8547788241698062,1.0
11,0.045976374526829136,0.05721142920016342,0.06380533106365968,0.11380533106365968,0.04380533106365968,91.03672852458953,68.83568541192396,74.81982312125098,0.23301915325903164,-0.004080622362558204,0.6868709320507169,0.52,0.5962364401690564,1.0
12,0.04179823516372819,0.05424477710686884,0.05726628324216736,0.10726628324216736,0.03726628324216735,93.83878568588878,71.63774257322322,77.21942426849317,0.23994958028212113,-0.0032231837982519686,0.657519856290127,0.52,0.4983995209670898,1.0
13,0.03609359137321848,0.0530202919583518,0.05257723362413693,0.10257723362413693,0.032577233624136934,96.26891692673581,74.06787381407025,79.16253447197904,0.2486571477960673,-0.002571964921767613,0.6064723821770468,0.52,0.32824127392348956,1.0
14,0.04911309467172932,0.05227408900168846,0.05796768083839734,0.10796768083839733,0.03796768083839734,99.92826187393948,77.72721876127392,82.19242634411592,0.2540174196292749,-0.002348006794761186,0.7056242241965476,0.52,0.6587474139884921,1.0
15,0.02556958773560255,0.053405299359487346,0.047892742907032285,0.09789274290703229,0.027892742907032284,101.59219594081367,79.39115282814811,83.37616509098072,0.2672318911539484,-0.0016315893455318715,0.4525290315356596,0.52,-0.18490322821446814,1.0
16,0.0511973386340881,0.055516752558960096,0.06387379815548419,0.1138737981554842,0.04387379815548419,105.71131659848469,83.51027348581916,86.95256651479082,0.2715652213024505,-0.001793666839010207,0.7168144186754376,0.52,0.6960480622514587,1.0
17,0.03939871347816697,0.0626878146646364,0.06873107873603808,0.11873107873603808,0.048731078736038075,108.87242681092818,86.6713836982626,90.0728167705074,0.28086754239596134,-0.001749242188615323,0.6378492175707438,0.52,0.4328307252358123,1.0
18,0.049172419373167145,0.05536594070623796,0.06263512074594049,0.1126351207459405,0.04263512074594049,113.16056642031005,90.95952330764449,93.73477180085548,0.2869699090171103,-0.0010664983584819953,0.6965366367553859,0.52,0.6598528387733549,0.9686026170779314
19,0.051300812111492615,0.052735818790103924,0.05975413424090219,0.10975413424090219,0.039754134240902184,117.89109159640742,95.69004848374185,97.57018464861964,0.2922724994998502,-0.00045283231566039937,0.6965045373936507,0.52,0.6978209038445433,0.9305275541342926
20,0.0583893959261528,0.04637941873713954,0.053763826068785714,0.10376382606878572,0.03376382606878571,123.67427944401285,101.47323633134731,101.82360364126373,0.296433060110464,0.0003193400434952109,0.7187068231315332,0.5247901006524283,0.8043121159034914,0.8916571603317149
21,0.07573438051315275,0.04966960420508252,0.06737159656420014,0.11737159656420014,0.04737159656420013,131.90003741061798,109.69899429795247,108.36814293935231,0.29400018231005465,0.0011347018309810356,0.7569053218505443,0.5370205274647155,0.9691819249737558,0.8378084445751044
22,0.06541135762854891,0.04900310440430635,0.06121033542073398,0.11121033542073398,0.041210335420733976,139.44592258936186,117.24487947669628,114.10452972296983,0.2942730379503622,0.0018268807075796974,0.7237818764467903,0.5474032106136955,0.887046078365454,0.7956892289722529
23,0.07608922231527593,0.04838440566201258,0.06562121965065683,0.11562121965065683,0.045621219650656825,148.9996571395095,126.79861402684398,121.37093297874047,0.29157324759674497,0.0028018552930688927,0.7391499606753129,0.5620278293960335,0.9664109598011444,0.7480518032551876
24,0.09477669518247117,0.04732800130425409,0.07338034954761671,0.12338034954761672,0.05338034954761671,162.14974434390152,139.948701231236,131.38543446797902,0.2840376577132753,0.004237085131912089,0.6956726600746665,0.5835562769786813,0.8498002651217437,0.6910335658222366
