period,gdp,consumption,investment,government_spending,savings,unemployment_rate,inflation_rate,total_loans,total_deposits,avg_lending_rate,tax_revenue,public_debt,total_profits,avg_productivity,avg_technology
0,2927723652043.3066,70998854.39519185,2927638613188.9116,14040000.0,19657744.607403092,1.0,0.05,1465944484.483301,2136945312.6578734,0.11000000000000001,8400000.0,5640000.0,146381804708209.72,1.1076031282232623,0.48379658871795683
1,2.4721593308167674e+20,69668798.11859813,2.4721593308159305e+20,14040000.0,35340087.480436094,0.003984063745019917,84439639.64338541,1436625594.793635,2136945312.6578734,0.11000000000000001,8400000.0,11280000.0,1.2360796507697742e+22,1.1640108420413127,0.5642088202826911
2,4.700138715133399e+31,71280643.45071216,4.700138715133399e+31,14040000.0,49829180.83261901,0.0,190122807074.72913,1407893082.8977623,2136945312.6578734,0.11000000000000001,8400000.0,16920000.0,2.350069357554338e+33,1.2264942997310335,0.6409968041593134
3,2.8957240496149437e+47,72351987.16402258,2.8957240496149437e+47,14040000.0,63246930.47149179,0.0,6160933166273066.0,1379735221.239807,2136945312.6578734,0.11000000000000001,8400000.0,22560000.0,1.447862024807471e+49,1.2886606012988175,0.7090780427313695
4,9.83080947263049e+67,73356612.20758535,9.83080947263049e+67,14040000.0,75660055.06680158,0.0,3.394940023355379e+20,1352140516.8150108,2136945312.6578734,0.11000000000000001,8400000.0,28200000.0,4.915404736315246e+69,1.358697244536148,0.7683424888398346
5,4.8202125557947754e+94,74284114.46093988,4.8202125557947754e+94,14040000.0,87145677.4087572,0.0,4.903169539817154e+26,1325097706.4787107,2136945312.6578734,0.11000000000000001,8400000.0,33840000.0,2.41010627789739e+96,1.4292595650962212,0.8201311962740222
6,2.402824361283881e+129,75141172.61468168,2.402824361283881e+129,14040000.0,97774241.59697054,0.0,4.984892955384815e+34,1298595752.3491364,2136945312.6578734,0.11000000000000001,8400000.0,39480000.0,1.2014121806419403e+131,1.5089144008089197,0.8647870000608927
7,3.073815875632393e+174,75933178.26195785,3.073815875632393e+174,14040000.0,107610800.13790792,0.0,1.2792511700647095e+45,1272623837.3021536,2136945312.6578734,0.11000000000000001,8400000.0,45120000.0,1.5369079378161968e+176,1.586978431011412,0.8996613467934818
8,1.3388154343553598e+233,76665139.9618067,1.3388154343553598e+233,14040000.0,116715396.97899622,0.0,4.355548570650537e+58,1247171360.5561106,2136945312.6578734,0.11000000000000001,8400000.0,50760000.0,6.694077171776794e+234,1.661673785863889,0.9265526208608289
9,1.3388154343553598e+233,77341698.19435447,1.3388154343553598e+233,14040000.0,125143435.58753778,0.0,0.0,1222227933.3449883,2136945312.6578734,0.11000000000000001,8400000.0,56400000.0,,1.7496512150524823,0.9473245592267431
10,1.3388154343553598e+233,77967107.46357167,1.3388154343553598e+233,14040000.0,132946064.92686148,0.0,0.0,1197783374.6780887,2136945312.6578734,0.11000000000000001,8400000.0,62040000.0,,1.8333520745624514,0.9635403806484646
11,1.3388154343553598e+233,78545663.24060978,1.3388154343553598e+233,14040000.0,140170138.48914716,0.0,0.0,1173827707.184527,2136945312.6578734,0.11000000000000001,8400000.0,67680000.0,,1.9238121009154003,0.9736712910738149
12,1.3388154343553598e+233,79080197.32538398,1.3388154343553598e+233,14040000.0,146859677.96665856,0.0,0.0,1150351153.0408363,2136945312.6578734,0.11000000000000001,8400000.0,73320000.0,,2.025404279321437,0.9815131083439914
13,1.3388154343553598e+233,79574490.8785221,1.3388154343553598e+233,14040000.0,153054923.89103138,0.0,0.0,1127344129.9800196,2136945312.6578734,0.11000000000000001,8400000.0,78960000.0,,2.115540933512298,0.9863324484555174
14,1.3388154343553598e+233,80031602.13299303,1.3388154343553598e+233,14040000.0,158793058.56093422,0.0,0.0,1104797247.3804193,2136945312.6578734,0.11000000000000001,8400000.0,84600000.0,,2.22349912015714,0.9907848150487873
15,1.3388154343553598e+233,80454374.69766738,1.3388154343553598e+233,14040000.0,164108420.66616204,0.0,0.0,1082701302.4328108,2136945312.6578734,0.11000000000000001,8400000.0,90240000.0,,2.349403095771435,0.9944287853143297
16,1.3388154343553598e+233,80845431.26975001,1.3388154343553598e+233,14040000.0,169032726.1993069,0.0,0.0,1061047276.3841546,2136945312.6578734,0.11000000000000001,8400000.0,95880000.0,,2.462647183033962,0.9958059448758982
17,1.3388154343553598e+233,81207191.23124257,1.3388154343553598e+233,14040000.0,173595271.7709598,0.0,0.0,1039826330.8564715,2136945312.6578734,0.11000000000000001,8400000.0,101520000.0,,2.589932435124836,0.996837793280142
18,1.3388154343553598e+233,81541882.4608238,1.3388154343553598e+233,14040000.0,177823126.113031,0.0,0.0,1019029804.2393421,2136945312.6578734,0.11000000000000001,8400000.0,107160000.0,,2.7256586681586223,0.9981352539910155
19,1.3388154343553598e+233,81851564.96794958,1.3388154343553598e+233,14040000.0,181741297.9479774,0.0,0.0,998649208.1545552,2136945312.6578734,0.11000000000000001,8400000.0,112800000.0,,2.86079084055233,0.9985854297719207
20,1.3388154343553598e+233,82138140.41800079,1.3388154343553598e+233,14040000.0,185372894.3328709,0.0,0.0,978676223.9914641,2136945312.6578734,0.11000000000000001,8400000.0,118440000.0,,3.0088839527447053,0.9988874442767964
