period,total_consumption,total_saving,average_consumption,consumption_inequality,saving_rate,inflation,growth,unemployment
0,88852738.61910048,-14018568.766376663,88852.73861910048,1.0141807295492755,-0.18732844626947395,0.05759177488361413,0.05449951251235253,0.03478073935327867
1,90623873.7717857,-14265256.45401425,90623.8737717857,1.0132739546744682,-0.1868192085596369,0.05289643973026278,0.07598073040929856,0.032849706446621094
2,90945500.92043546,-14345727.282152068,90945.50092043546,1.0128073664934927,-0.18728158845344545,0.055659462809487976,0.07937890029505489,0.024867629450564185
3,92283766.6017318,-14645421.577013543,92283.76660173181,1.0158410658764236,-0.18863644726521128,0.04936330021218714,0.09401356548690759,0.03093257241319729
4,91998456.12311587,-14499184.426580854,91998.45612311587,1.01206177644728,-0.18708800881839915,0.04145896194582917,0.09205386235849278,0.028704374336750056
5,93529578.5764209,-14758727.788599025,93529.5785764209,1.011576270118975,-0.1873628079548527,0.05340026201136566,0.10997187407054622,0.03317729107799177
6,94517191.2741059,-14861206.39564174,94517.1912741059,1.009362763803085,-0.18656735483612888,0.05436426026760117,0.1224444313118074,0.033212037459004994
7,94868098.52009022,-15051810.085533593,94868.09852009022,1.0131462474893758,-0.1885806817223147,0.06177685211096387,0.12470329276622305,0.03215558651700889
8,95679325.45588765,-15176498.947861206,95679.32545588765,1.0151870435549417,-0.1885213178986709,0.049513323215550235,0.13437740374012505,0.042941591653064166
9,94395777.89512151,-14889392.924101783,94395.77789512152,1.0132576608464368,-0.1872729206532155,0.04328981107916203,0.12033639657603734,0.03191523903256217
10,95284544.46072194,-14984441.347694602,95284.54446072194,1.015270299264584,-0.18660550568164375,0.05082831504640471,0.13152079797270472,0.033132616793494406
11,94432442.7334941,-14913095.522959888,94432.4427334941,1.0165233879862559,-0.18754046714538794,0.05605445122972994,0.12051904943737066,0.036477334602429475
12,95927741.22998051,-15085768.755788762,95927.74122998051,1.0102329231664613,-0.18660812315786568,0.06758978781429908,0.13915636042121954,0.03591092113940397
13,96612055.14456114,-15157589.524008002,96612.05514456113,1.0127365926468754,-0.18608666091578088,0.04824135346429008,0.14778709322050557,0.042613414573092936
